SKU,Color,Title,Retail,Quantity
H208269D92000,Dark Grey,Luminara (4) 6 Inch Flameless Candles w/ 4 Remotes,$88.00,
H208269K56000,Red,Luminara (4) 6 Inch Flameless Candles w/ 4 Remotes,$88.00,
H208269U27000,Navy Blue,Luminara (4) 6 Inch Flameless Candles w/ 4 Remotes,$88.00,
H208269V47000,Chocolate Brown,Luminara (4) 6 Inch Flameless Candles w/ 4 Remotes,$88.00,
H208270082000,Ivory,Luminara (4) 8 Inch Flameless Candles w/ 4 Remotes,$97.00,
H208270D92000,Dark Grey,Luminara (4) 8 Inch Flameless Candles w/ 4 Remotes,$97.00,
H208270K56000,Red,Luminara (4) 8 Inch Flameless Candles w/ 4 Remotes,$97.00,
H208270U27000,Navy Blue,Luminara (4) 8 Inch Flameless Candles w/ 4 Remotes,$97.00,
H208270V47000,Chocolate Brown,Luminara (4) 8 Inch Flameless Candles w/ 4 Remotes,$97.00,
H208779012000,Black,Luminara 11 Inch Hurricane with 7 Inch Flameless Candle,$69.24,
H208779082000,Ivory,Luminara 11 Inch Hurricane with 7 Inch Flameless Candle,$69.24,
H208846848000,Ivory/White,Luminara 5 Inch and 7 Inch Snowflake Embossed,$53.64,
H208846849000,White/Silver,Luminara 5 Inch and 7 Inch Snowflake Embossed,$53.64,
H208847848000,Red Peppermint ,Luminara 7 Inch 360 Embedded Peppermint Flameless,$33.12,
H208847849000,GreenPeppermint,Luminara 7 Inch 360 Embedded Peppermint Flameless,$33.12,
H208935082000,Ivory,Luminara Set of 4 Rechargeable Tealights with,$86.76,
H209004026000,Coral,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004032000,Bronze,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004060000,Grey,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004061000,Green,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004082000,Ivory,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004130000,Navy,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004185000,Slate,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004240000,Yellow,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209004K56000,Red,Luminara 11 Inch Hudson Lantern with Votive Candle,$38.56,
H209278061000,Green,Luminara Mosaic Glass Candleholder w/ Flameless,$31.92,
H209278987000,Chocolate,Luminara Mosaic Glass Candleholder w/ Flameless,$31.92,
H209278AB6000,Multi,Luminara Mosaic Glass Candleholder w/ Flameless,$31.92,
H209278GQ7000,Sunset,Luminara Mosaic Glass Candleholder w/ Flameless,$31.92,
H202704848000,Ivory,Luminara 8 Inch Hurricane Glass w/ Flameless Candle,$20.92,
H208606180000,,Set of 2 Lit Candle Holder Pedestals with Mirror By Valerie,$36.50,
